Q,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å⁻¹,arbitrary units,arbitrary units,arbitrary units,arbitrary units
Structure Factor S(Q),Si-Si,Total,Si-Si_smoothed,Total_smoothed
4.59000,0.00000,0.00000,3.18198,3.18198
4.61000,0.00000,0.00000,3.37874,3.37874
4.63000,43.20000,43.20000,3.44700,3.44700
4.65000,0.00000,0.00000,3.37923,3.37923
4.67000,0.00000,0.00000,3.18303,3.18303
4.69000,0.00000,0.00000,2.88138,2.88138
4.71000,0.00000,0.00000,2.50747,2.50747
4.73000,0.00000,0.00000,2.09929,2.09929
4.75000,0.00000,0.00000,1.69379,1.69379
4.77000,0.00000,0.00000,1.32219,1.32219
4.79000,0.00000,0.00000,1.00730,1.00730
4.81000,0.00000,0.00000,0.76278,0.76278
4.83000,0.00000,0.00000,0.59421,0.59421
4.85000,0.00000,0.00000,0.50089,0.50089
4.87000,0.00000,0.00000,0.47773,0.47773
4.89000,0.00000,0.00000,0.51669,0.51669
4.91000,0.00000,0.00000,0.60743,0.60743
4.93000,0.00000,0.00000,0.73739,0.73739
4.95000,0.00000,0.00000,0.89173,0.89173
4.97000,0.00000,0.00000,1.05358,1.05358
4.99000,0.00000,0.00000,1.20494,1.20494
5.01000,0.00000,0.00000,1.32835,1.32835
5.03000,0.00000,0.00000,1.40897,1.40897
5.05000,18.00000,18.00000,1.43625,1.43625
5.07000,0.00000,0.00000,1.40781,1.40781
5.09000,0.00000,0.00000,1.32583,1.32583
5.11000,0.00000,0.00000,1.19966,1.19966
5.13000,0.00000,0.00000,1.04293,1.04293
5.15000,0.00000,0.00000,0.87113,0.87113
5.17000,0.00000,0.00000,0.69910,0.69910
5.19000,0.00000,0.00000,0.53904,0.53904
5.21000,0.00000,0.00000,0.39933,0.39933
5.23000,0.00000,0.00000,0.28423,0.28423
5.25000,0.00000,0.00000,0.19438,0.19438
5.27000,0.00000,0.00000,0.12916,0.12916
5.29000,0.00000,0.00000,0.08378,0.08378
5.31000,0.00000,0.00000,0.05551,0.05551
5.33000,0.00000,0.00000,0.04181,0.04181
5.35000,0.00000,0.00000,0.04170,0.04170
5.37000,0.00000,0.00000,0.05645,0.05645
5.39000,0.00000,0.00000,0.08993,0.08993
5.41000,0.00000,0.00000,0.14890,0.14890
5.43000,0.00000,0.00000,0.24292,0.24292
5.45000,0.00000,0.00000,0.38362,0.38362
5.47000,0.00000,0.00000,0.58313,0.58313
5.49000,0.00000,0.00000,0.85270,0.85270
5.51000,0.00000,0.00000,1.19799,1.19799
5.53000,0.00000,0.00000,1.61712,1.61712
5.55000,0.00000,0.00000,2.09729,2.09729
5.57000,0.00000,0.00000,2.61339,2.61339
5.59000,0.00000,0.00000,3.12879,3.12879
5.61000,0.00000,0.00000,3.59986,3.59986
5.63000,0.00000,0.00000,3.97942,3.97942
5.65000,0.00000,0.00000,4.22750,4.22750
5.67000,54.00000,54.00000,4.31694,4.31694
5.69000,0.00000,0.00000,4.23928,4.23928
5.71000,0.00000,0.00000,4.00693,4.00693
5.73000,0.00000,0.00000,3.65158,3.65158
5.75000,0.00000,0.00000,3.21907,3.21907
5.77000,0.00000,0.00000,2.76223,2.76223
5.79000,0.00000,0.00000,2.33307,2.33307
5.81000,0.00000,0.00000,1.97597,1.97597
5.83000,0.00000,0.00000,1.72273,1.72273
5.85000,0.00000,0.00000,1.58992,1.58992
5.87000,0.00000,0.00000,1.57828,1.57828
5.89000,0.00000,0.00000,1.67378,1.67378
5.91000,0.00000,0.00000,1.85011,1.85011
5.93000,0.00000,0.00000,2.07211,2.07211
5.95000,0.00000,0.00000,2.30024,2.30024
5.97000,0.00000,0.00000,2.49554,2.49554
5.99000,0.00000,0.00000,2.62478,2.62478
6.01000,33.23077,33.23077,2.66485,2.66485
6.03000,0.00000,0.00000,2.60564,2.60564
6.05000,0.00000,0.00000,2.45083,2.45083
6.07000,0.00000,0.00000,2.21620,2.21620
6.09000,0.00000,0.00000,1.92541,1.92541
6.11000,0.00000,0.00000,1.60824,1.60824
6.13000,0.00000,0.00000,1.29064,1.29064
6.15000,0.00000,0.00000,0.99565,0.99565
6.17000,0.00000,0.00000,0.73832,0.73832
6.19000,0.00000,0.00000,0.52703,0.52703
