r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Reduced Pair Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
10.65000,-6.68470,-6.68470,-5.26440,-5.26440
10.67000,-6.69725,-6.69725,-5.62623,-5.62623
10.69000,-6.70981,-6.70981,-5.80516,-5.80516
10.71000,-6.72236,-6.72236,-5.83541,-5.83541
10.73000,-6.73492,-6.73492,-5.75229,-5.75229
10.75000,-6.74747,-6.74747,-5.58666,-5.58666
10.77000,-6.76002,-6.76002,-5.36850,-5.36850
10.79000,-6.77258,-6.77258,-5.12661,-5.12661
10.81000,-6.78513,-6.78513,-4.88778,-4.88778
10.83000,-6.79768,-6.79768,-4.67471,-4.67471
10.85000,-6.81024,-6.81024,-4.50496,-4.50496
10.87000,20.77611,20.77611,-4.37873,-4.37873
10.89000,-6.83534,-6.83534,-4.29361,-4.29361
10.91000,-6.84790,-6.84790,-4.23186,-4.23186
10.93000,-6.86045,-6.86045,-4.16827,-4.16827
10.95000,-6.87300,-6.87300,-4.07579,-4.07579
10.97000,-6.88556,-6.88556,-3.93259,-3.93259
10.99000,-6.89811,-6.89811,-3.72870,-3.72870
11.01000,-6.91066,-6.91066,-3.47052,-3.47052
11.03000,-6.92322,-6.92322,-3.18183,-3.18183
11.05000,-6.93577,-6.93577,-2.90064,-2.90064
11.07000,-6.94832,-6.94832,-2.67242,-2.67242
11.09000,-6.96088,-6.96088,-2.54120,-2.54120
11.11000,47.03197,47.03197,-2.54063,-2.54063
11.13000,-6.98598,-6.98598,-2.68297,-2.68297
11.15000,-6.99854,-6.99854,-2.96785,-2.96785
11.17000,-7.01109,-7.01109,-3.36819,-3.36819
11.19000,-7.02364,-7.02364,-3.84290,-3.84290
11.21000,-7.03620,-7.03620,-4.34130,-4.34130
11.23000,-7.04875,-7.04875,-4.80949,-4.80949
11.25000,-7.06130,-7.06130,-5.19526,-5.19526
11.27000,-7.07386,-7.07386,-5.45089,-5.45089
11.29000,-7.08641,-7.08641,-5.53438,-5.53438
11.31000,-7.09896,-7.09896,-5.40812,-5.40812
11.33000,-7.11152,-7.11152,-5.04252,-5.04252
11.35000,-7.12407,-7.12407,-4.41384,-4.41384
11.37000,-7.13663,-7.13663,-3.51954,-3.51954
11.39000,-7.14918,-7.14918,-2.37398,-2.37398
11.41000,-7.16173,-7.16173,-1.02120,-1.02120
11.43000,-7.17429,-7.17429,0.46361,0.46361
11.45000,-7.18684,-7.18684,1.97746,1.97746
11.47000,-7.19939,-7.19939,3.40050,3.40050
11.49000,-7.21195,-7.21195,4.61382,4.61382
11.51000,-7.22450,-7.22450,5.52060,5.52060
11.53000,148.87743,148.87743,6.06497,6.06497
11.55000,-7.24961,-7.24961,6.24701,6.24701
11.57000,-7.26216,-7.26216,6.11820,6.11820
11.59000,-7.27471,-7.27471,5.77327,5.77327
11.61000,-7.28727,-7.28727,5.32622,5.32622
11.63000,-7.29982,-7.29982,4.88311,4.88311
11.65000,-7.31237,-7.31237,4.51726,4.51726
11.67000,-7.32493,-7.32493,4.25375,4.25375
11.69000,-7.33748,-7.33748,4.06692,4.06692
11.71000,-7.35003,-7.35003,3.89127,3.89127
11.73000,-7.36259,-7.36259,3.64207,3.64207
11.75000,111.77380,111.77380,3.24226,3.24226
11.77000,-7.38769,-7.38769,2.63616,2.63616
11.79000,-7.40025,-7.40025,1.81211,1.81211
11.81000,-7.41280,-7.41280,0.79968,0.79968
11.83000,-7.42535,-7.42535,-0.33631,-0.33631
11.85000,-7.43791,-7.43791,-1.50958,-1.50958
11.87000,-7.45046,-7.45046,-2.62803,-2.62803
11.89000,-7.46301,-7.46301,-3.60747,-3.60747
11.91000,-7.47557,-7.47557,-4.38075,-4.38075
11.93000,-7.48812,-7.48812,-4.90174,-4.90174
11.95000,-7.50067,-7.50067,-5.14750,-5.14750
11.97000,-7.51323,-7.51323,-5.10438,-5.10438
11.99000,-7.52578,-7.52578,-4.79249,-4.79249
12.01000,-7.53833,-7.53833,-4.23914,-4.23914
12.03000,-7.55089,-7.55089,-3.49047,-3.49047
12.05000,-7.56344,-7.56344,-2.60858,-2.60858
12.07000,-7.57600,-7.57600,-1.66766,-1.66766
12.09000,-7.58855,-7.58855,-0.74634,-0.74634
12.11000,-7.60110,-7.60110,0.08356,0.08356
12.13000,-7.61366,-7.61366,0.76968,0.76968
12.15000,91.13922,91.13922,1.29008,1.29008
12.17000,-7.63876,-7.63876,1.65719,1.65719
12.19000,-7.65132,-7.65132,1.92120,1.92120
12.21000,-7.66387,-7.66387,2.14683,2.14683
12.23000,-7.67642,-7.67642,2.40375,2.40375
12.25000,-7.68898,-7.68898,2.74244,2.74244
12.27000,-7.70153,-7.70153,3.17667,3.17667
12.29000,-7.71408,-7.71408,3.67475,3.67475
12.31000,-7.72664,-7.72664,4.16259,4.16259
12.33000,-7.73919,-7.73919,4.54098,4.54098
12.35000,-7.75174,-7.75174,4.70113,4.70113
12.37000,137.74904,137.74904,4.55875,4.55875
12.39000,-7.77685,-7.77685,4.06960,4.06960
12.41000,-7.78940,-7.78940,3.24194,3.24194
12.43000,-7.80196,-7.80196,2.13608,2.13608
12.45000,-7.81451,-7.81451,0.85341,0.85341
12.47000,-7.82706,-7.82706,-0.48160,-0.48160
12.49000,-7.83962,-7.83962,-1.74149,-1.74149
12.51000,-7.85217,-7.85217,-2.81361,-2.81361
12.53000,-7.86472,-7.86472,-3.61280,-3.61280
12.55000,-7.87728,-7.87728,-4.08589,-4.08589
12.57000,-7.88983,-7.88983,-4.22179,-4.22179
12.59000,-7.90238,-7.90238,-4.03566,-4.03566
12.61000,-7.91494,-7.91494,-3.57918,-3.57918
12.63000,-7.92749,-7.92749,-2.92591,-2.92591
12.65000,-7.94004,-7.94004,-2.16573,-2.16573
12.67000,-7.95260,-7.95260,-1.39434,-1.39434
12.69000,-7.96515,-7.96515,-0.70071,-0.70071
12.71000,-7.97770,-7.97770,-0.15413,-0.15413
12.73000,86.27526,86.27526,0.20662,0.20662
12.75000,-8.00281,-8.00281,0.37899,0.37899
12.77000,-8.01537,-8.01537,0.39507,0.39507
12.79000,-8.02792,-8.02792,0.31041,0.31041
12.81000,-8.04047,-8.04047,0.19632,0.19632
12.83000,-8.05303,-8.05303,0.10802,0.10802
12.85000,-8.06558,-8.06558,0.08016,0.08016
12.87000,-8.07813,-8.07813,0.11382,0.11382
12.89000,-8.09069,-8.09069,0.17644,0.17644
12.91000,-8.10324,-8.10324,0.21305,0.21305
12.93000,-8.11579,-8.11579,0.15482,0.15482
12.95000,84.53575,84.53575,-0.05466,-0.05466
12.97000,-8.14090,-8.14090,-0.44904,-0.44904
12.99000,-8.15345,-8.15345,-1.02901,-1.02901
13.01000,-8.16601,-8.16601,-1.76101,-1.76101
13.03000,-8.17856,-8.17856,-2.58325,-2.58325
13.05000,-8.19111,-8.19111,-3.41665,-3.41665
13.07000,-8.20367,-8.20367,-4.17765,-4.17765
13.09000,-8.21622,-8.21622,-4.79001,-4.79001
13.11000,-8.22877,-8.22877,-5.19036,-5.19036
13.13000,-8.24133,-8.24133,-5.34414,-5.34414
13.15000,-8.25388,-8.25388,-5.23677,-5.23677
13.17000,-8.26643,-8.26643,-4.87620,-4.87620
13.19000,-8.27899,-8.27899,-4.29879,-4.29879
13.21000,-8.29154,-8.29154,-3.55842,-3.55842
13.23000,-8.30409,-8.30409,-2.72266,-2.72266
13.25000,-8.31665,-8.31665,-1.86375,-1.86375
13.27000,-8.32920,-8.32920,-1.04750,-1.04750
13.29000,-8.34175,-8.34175,-0.32220,-0.32220
13.31000,81.80347,81.80347,0.28962,0.28962
13.33000,-8.36686,-8.36686,0.79380,0.79380
13.35000,-8.37941,-8.37941,1.21963,1.21963
13.37000,-8.39197,-8.39197,1.60677,1.60677
13.39000,-8.40452,-8.40452,1.99395,1.99395
13.41000,-8.41707,-8.41707,2.39424,2.39424
13.43000,-8.42963,-8.42963,2.79169,2.79169
13.45000,-8.44218,-8.44218,3.14447,3.14447
13.47000,-8.45474,-8.45474,3.37426,3.37426
13.49000,-8.46729,-8.46729,3.40868,3.40868
13.51000,124.75480,124.75480,3.18881,3.18881
13.53000,-8.49240,-8.49240,2.69174,2.69174
13.55000,-8.50495,-8.50495,1.94294,1.94294
13.57000,-8.51750,-8.51750,1.01870,1.01870
13.59000,-8.53006,-8.53006,0.03852,0.03852
13.61000,-8.54261,-8.54261,-0.85042,-0.85042
13.63000,-8.55516,-8.55516,-1.49326,-1.49326
13.65000,-8.56772,-8.56772,-1.74527,-1.74527
13.67000,-8.58027,-8.58027,-1.50150,-1.50150
13.69000,-8.59282,-8.59282,-0.70150,-0.70150
13.71000,-8.60538,-8.60538,0.65134,0.65134
13.73000,-8.61793,-8.61793,2.48376,2.48376
13.75000,-8.63048,-8.63048,4.65934,4.65934
13.77000,-8.64304,-8.64304,6.98213,6.98213
13.79000,-8.65559,-8.65559,9.22695,9.22695
13.81000,-8.66814,-8.66814,11.16929,11.16929
13.83000,-8.68070,-8.68070,12.62122,12.62122
13.85000,251.23455,251.23455,13.46311,13.46311
13.87000,-8.70580,-8.70580,13.66289,13.66289
13.89000,-8.71836,-8.71836,13.27713,13.27713
