Q,Bi-Bi,Total
7.81000,1.00311,1.00311
7.83000,1.00563,1.00563
7.85000,1.00793,1.00793
7.87000,1.01005,1.01005
7.89000,1.01203,1.01203
7.91000,1.01389,1.01389
7.93000,1.01568,1.01568
7.95000,1.01744,1.01744
7.97000,1.01921,1.01921
7.99000,1.02103,1.02103
8.01000,1.02293,1.02293
8.03000,1.02492,1.02492
8.05000,1.02704,1.02704
8.07000,1.02929,1.02929
8.09000,1.03167,1.03167
8.11000,1.03417,1.03417
8.13000,1.03679,1.03679
8.15000,1.03949,1.03949
8.17000,1.04224,1.04224
8.19000,1.04500,1.04500
8.21000,1.04772,1.04772
8.23000,1.05036,1.05036
8.25000,1.05284,1.05284
8.27000,1.05513,1.05513
8.29000,1.05715,1.05715
8.31000,1.05885,1.05885
8.33000,1.06018,1.06018
8.35000,1.06108,1.06108
8.37000,1.06151,1.06151
8.39000,1.06144,1.06144
8.41000,1.06084,1.06084
8.43000,1.05970,1.05970
8.45000,1.05800,1.05800
8.47000,1.05576,1.05576
8.49000,1.05298,1.05298
8.51000,1.04971,1.04971
8.53000,1.04598,1.04598
8.55000,1.04184,1.04184
8.57000,1.03734,1.03734
8.59000,1.03255,1.03255
8.61000,1.02755,1.02755
8.63000,1.02241,1.02241
8.65000,1.01721,1.01721
8.67000,1.01204,1.01204
8.69000,1.00696,1.00696
8.71000,1.00205,1.00205
8.73000,0.99739,0.99739
8.75000,0.99304,0.99304
8.77000,0.98905,0.98905
8.79000,0.98547,0.98547
8.81000,0.98234,0.98234
8.83000,0.97968,0.97968
8.85000,0.97751,0.97751
8.87000,0.97582,0.97582
8.89000,0.97461,0.97461
8.91000,0.97385,0.97385
8.93000,0.97351,0.97351
8.95000,0.97356,0.97356
8.97000,0.97393,0.97393
8.99000,0.97458,0.97458
9.01000,0.97545,0.97545
9.03000,0.97647,0.97647
9.05000,0.97757,0.97757
9.07000,0.97870,0.97870
9.09000,0.97979,0.97979
9.11000,0.98078,0.98078
9.13000,0.98162,0.98162
9.15000,0.98226,0.98226
9.17000,0.98268,0.98268
9.19000,0.98284,0.98284
9.21000,0.98272,0.98272
9.23000,0.98232,0.98232
9.25000,0.98165,0.98165
9.27000,0.98070,0.98070
9.29000,0.97952,0.97952
9.31000,0.97812,0.97812
9.33000,0.97656,0.97656
9.35000,0.97487,0.97487
9.37000,0.97311,0.97311
9.39000,0.97134,0.97134
9.41000,0.96961,0.96961
9.43000,0.96798,0.96798
9.45000,0.96651,0.96651
9.47000,0.96526,0.96526
9.49000,0.96428,0.96428
9.51000,0.96361,0.96361
9.53000,0.96328,0.96328
9.55000,0.96334,0.96334
9.57000,0.96380,0.96380
9.59000,0.96468,0.96468
9.61000,0.96598,0.96598
9.63000,0.96769,0.96769
9.65000,0.96980,0.96980
9.67000,0.97228,0.97228
9.69000,0.97511,0.97511
9.71000,0.97824,0.97824
9.73000,0.98163,0.98163
9.75000,0.98522,0.98522
9.77000,0.98897,0.98897
9.79000,0.99282,0.99282
9.81000,0.99670,0.99670
9.83000,1.00057,1.00057
9.85000,1.00436,1.00436
9.87000,1.00802,1.00802
9.89000,1.01152,1.01152
9.91000,1.01479,1.01479
9.93000,1.01781,1.01781
9.95000,1.02055,1.02055
9.97000,1.02297,1.02297
9.99000,1.02507,1.02507
10.01000,1.02684,1.02684
10.03000,1.02827,1.02827
10.05000,1.02936,1.02936
10.07000,1.03014,1.03014
10.09000,1.03061,1.03061
10.11000,1.03081,1.03081
10.13000,1.03074,1.03074
10.15000,1.03045,1.03045
10.17000,1.02996,1.02996
10.19000,1.02931,1.02931
10.21000,1.02853,1.02853
10.23000,1.02765,1.02765
10.25000,1.02670,1.02670
10.27000,1.02571,1.02571
10.29000,1.02470,1.02470
10.31000,1.02369,1.02369
10.33000,1.02270,1.02270
10.35000,1.02175,1.02175
10.37000,1.02084,1.02084
10.39000,1.01997,1.01997
10.41000,1.01915,1.01915
10.43000,1.01838,1.01838
10.45000,1.01764,1.01764
10.47000,1.01692,1.01692
10.49000,1.01623,1.01623
10.51000,1.01553,1.01553
10.53000,1.01482,1.01482
10.55000,1.01408,1.01408
10.57000,1.01330,1.01330
