r,Bi-Bi,Total
5.99000,12.03704,12.03704
6.01000,11.57407,11.57407
6.03000,12.03704,12.03704
6.05000,9.25926,9.25926
6.07000,12.50000,12.50000
6.09000,19.44444,19.44444
6.11000,12.50000,12.50000
6.13000,12.96296,12.96296
6.15000,14.35185,14.35185
6.17000,13.42593,13.42593
6.19000,19.90741,19.90741
6.21000,16.20370,16.20370
6.23000,14.81482,14.81482
6.25000,16.20370,16.20370
6.27000,21.29630,21.29630
6.29000,19.90741,19.90741
6.31000,19.44444,19.44444
6.33000,19.44444,19.44444
6.35000,21.29630,21.29630
6.37000,16.20370,16.20370
6.39000,18.98148,18.98148
6.41000,13.42593,13.42593
6.43000,18.05556,18.05556
6.45000,23.61111,23.61111
6.47000,18.51852,18.51852
6.49000,17.59259,17.59259
6.51000,15.27778,15.27778
6.53000,18.98148,18.98148
6.55000,25.00000,25.00000
6.57000,20.37037,20.37037
6.59000,14.35185,14.35185
6.61000,27.31482,27.31482
6.63000,22.22222,22.22222
6.65000,18.51852,18.51852
6.67000,18.05556,18.05556
6.69000,15.74074,15.74074
6.71000,19.90741,19.90741
6.73000,24.07407,24.07407
6.75000,15.27778,15.27778
6.77000,18.98148,18.98148
6.79000,24.53704,24.53704
6.81000,21.29630,21.29630
6.83000,19.44444,19.44444
6.85000,22.22222,22.22222
6.87000,22.68519,22.68519
6.89000,15.74074,15.74074
6.91000,20.83333,20.83333
6.93000,14.81482,14.81482
6.95000,20.37037,20.37037
6.97000,20.37037,20.37037
6.99000,22.68519,22.68519
7.01000,20.83333,20.83333
7.03000,18.98148,18.98148
7.05000,16.20370,16.20370
7.07000,25.46296,25.46296
7.09000,18.98148,18.98148
7.11000,20.37037,20.37037
7.13000,16.66667,16.66667
7.15000,20.37037,20.37037
7.17000,24.07407,24.07407
7.19000,21.75926,21.75926
7.21000,23.61111,23.61111
7.23000,16.20370,16.20370
7.25000,18.51852,18.51852
7.27000,13.88889,13.88889
7.29000,20.37037,20.37037
7.31000,20.83333,20.83333
7.33000,18.51852,18.51852
7.35000,20.83333,20.83333
7.37000,20.83333,20.83333
7.39000,21.29630,21.29630
7.41000,18.05556,18.05556
7.43000,18.05556,18.05556
7.45000,19.90741,19.90741
7.47000,18.98148,18.98148
7.49000,18.98148,18.98148
7.51000,14.81482,14.81482
7.53000,21.75926,21.75926
7.55000,18.51852,18.51852
7.57000,23.14815,23.14815
7.59000,21.75926,21.75926
7.61000,16.66667,16.66667
7.63000,15.74074,15.74074
7.65000,18.05556,18.05556
7.67000,23.14815,23.14815
7.69000,23.61111,23.61111
7.71000,22.68519,22.68519
7.73000,22.68519,22.68519
7.75000,17.12963,17.12963
7.77000,19.44444,19.44444
7.79000,16.66667,16.66667
7.81000,18.98148,18.98148
7.83000,25.46296,25.46296
7.85000,19.90741,19.90741
7.87000,14.81482,14.81482
7.89000,19.90741,19.90741
7.91000,14.81482,14.81482
7.93000,19.90741,19.90741
7.95000,18.51852,18.51852
7.97000,19.44444,19.44444
7.99000,18.51852,18.51852
8.01000,20.83333,20.83333
8.03000,18.98148,18.98148
8.05000,21.29630,21.29630
8.07000,20.37037,20.37037
8.09000,27.31482,27.31482
8.11000,28.24074,28.24074
8.13000,21.29630,21.29630
8.15000,16.66667,16.66667
8.17000,20.37037,20.37037
8.19000,16.66667,16.66667
8.21000,26.38889,26.38889
8.23000,27.77778,27.77778
8.25000,21.29630,21.29630
8.27000,26.38889,26.38889
8.29000,28.70370,28.70370
8.31000,30.09259,30.09259
8.33000,25.46296,25.46296
8.35000,21.29630,21.29630
8.37000,18.98148,18.98148
8.39000,25.00000,25.00000
8.41000,24.07407,24.07407
8.43000,27.77778,27.77778
8.45000,18.98148,18.98148
8.47000,28.70370,28.70370
8.49000,30.09259,30.09259
8.51000,24.53704,24.53704
8.53000,24.07407,24.07407
