r,Bi-Bi,Total
5.13000,-0.41915,-0.41915
5.15000,-0.07244,-0.07244
5.17000,-0.89259,-0.89259
5.19000,-0.81445,-0.81445
5.21000,-0.73696,-0.73696
5.23000,-0.21752,-0.21752
5.25000,-0.40755,-0.40755
5.27000,-0.06911,-0.06911
5.29000,-0.95852,-0.95852
5.31000,-0.62066,-0.62066
5.33000,-0.37225,-0.37225
5.35000,-0.29882,-0.29882
5.37000,-0.22600,-0.22600
5.39000,-0.15376,-0.15376
5.41000,-0.51000,-0.51000
5.43000,-0.86366,-0.86366
5.45000,-0.53520,-0.53520
5.47000,-0.46311,-0.46311
5.49000,-0.30727,-0.30727
5.51000,-0.40467,-0.40467
5.53000,-0.58515,-0.58515
5.55000,-0.84779,-0.84779
5.57000,-0.69301,-0.69301
5.59000,-0.62221,-0.62221
5.61000,-1.04712,-1.04712
5.63000,-0.72898,-0.72898
5.65000,-0.74090,-0.74090
5.67000,-0.34453,-0.34453
5.69000,0.37446,0.37446
5.71000,-0.93862,-0.93862
5.73000,-0.62666,-0.62666
5.75000,-0.96105,-0.96105
5.77000,-0.57104,-0.57104
5.79000,-0.26373,-0.26373
5.81000,-0.35701,-0.35701
5.83000,-1.00557,-1.00557
5.85000,0.17045,0.17045
5.87000,-0.79106,-0.79106
5.89000,-0.56707,-0.56707
5.91000,0.20370,0.20370
5.93000,-0.12378,-0.12378
5.95000,-0.76033,-0.76033
5.97000,-0.38455,-0.38455
5.99000,-0.16590,-0.16590
6.01000,-0.25688,-0.25688
6.03000,-0.19376,-0.19376
6.05000,-0.66676,-0.66676
6.07000,-0.14517,-0.14517
6.09000,0.98111,0.98111
6.11000,-0.17318,-0.17318
6.13000,-0.11159,-0.11159
6.15000,0.10010,0.10010
6.17000,-0.06479,-0.06479
6.19000,0.96800,0.96800
6.21000,0.35397,0.35397
6.23000,0.11540,0.11540
6.25000,0.32275,0.32275
6.27000,1.11943,1.11943
6.29000,0.88056,0.88056
6.31000,0.78989,0.78989
6.33000,0.77289,0.77289
6.35000,1.04758,1.04758
6.37000,0.23032,0.23032
6.39000,0.64981,0.64981
6.41000,-0.23343,-0.23343
6.43000,0.47280,0.47280
6.45000,1.31815,1.31815
6.47000,0.51247,0.51247
6.49000,0.35371,0.35371
6.51000,-0.01746,-0.01746
6.53000,0.53528,0.53528
6.55000,1.43799,1.43799
6.57000,0.71445,0.71445
6.59000,-0.21550,-0.21550
6.61000,1.73176,1.73176
6.63000,0.94391,0.94391
6.65000,0.36962,0.36962
6.67000,0.28460,0.28460
6.69000,-0.07677,-0.07677
6.71000,0.52992,0.52992
6.73000,1.13296,1.13296
6.75000,-0.18806,-0.18806
6.77000,0.34507,0.34507
6.79000,1.14774,1.14774
6.81000,0.65398,0.65398
6.83000,0.36643,0.36643
6.85000,0.75637,0.75637
6.87000,0.80705,0.80705
6.89000,-0.21770,-0.21770
6.91000,0.50541,0.50541
6.93000,-0.37903,-0.37903
6.95000,0.40692,0.40692
6.97000,0.39124,0.39124
6.99000,0.70678,0.70678
7.01000,0.42608,0.42608
7.03000,0.14694,0.14694
7.05000,-0.26199,-0.26199
7.07000,1.03390,1.03390
7.09000,0.10230,0.10230
7.11000,0.28285,0.28285
7.13000,-0.25190,-0.25190
7.15000,0.25230,0.25230
7.17000,0.75364,0.75364
7.19000,0.41509,0.41509
7.21000,0.65628,0.65628
7.23000,-0.38458,-0.38458
7.25000,-0.07874,-0.07874
7.27000,-0.72985,-0.72985
7.29000,0.14674,0.14674
7.31000,0.19516,0.19516
7.33000,-0.13568,-0.13568
7.35000,0.16513,0.16513
7.37000,0.15017,0.15017
7.39000,0.19790,0.19790
7.41000,-0.25448,-0.25448
7.43000,-0.26831,-0.26831
7.45000,-0.03352,-0.03352
7.47000,-0.17189,-0.17189
7.49000,-0.18594,-0.18594
7.51000,-0.75477,-0.75477
7.53000,0.15496,0.15496
7.55000,-0.28919,-0.28919
7.57000,0.30864,0.30864
7.59000,0.11033,0.11033
7.61000,-0.57367,-0.57367
7.63000,-0.70802,-0.70802
7.65000,-0.41809,-0.41809
7.67000,0.23245,0.23245
7.69000,0.27755,0.27755
7.71000,0.14222,0.14222
7.73000,0.12735,0.12735
7.75000,-0.60434,-0.60434
7.77000,-0.31937,-0.31937
7.79000,-0.68964,-0.68964
7.81000,-0.40599,-0.40599
7.83000,0.40831,0.40831
7.85000,-0.31495,-0.31495
7.87000,-0.97575,-0.97575
7.89000,-0.34234,-0.34234
7.91000,-0.99980,-0.99980
7.93000,-0.36959,-0.36959
7.95000,-0.55787,-0.55787
7.97000,-0.45481,-0.45481
7.99000,-0.58406,-0.58406
8.01000,-0.30812,-0.30812
8.03000,-0.55248,-0.55248
8.05000,-0.27806,-0.27806
8.07000,-0.40662,-0.40662
8.09000,0.43828,0.43828
8.11000,0.53686,0.53686
8.13000,-0.33315,-0.33315
8.15000,-0.91489,-0.91489
8.17000,-0.47383,-0.47383
8.19000,-0.93941,-0.93941
8.21000,0.23257,0.23257
8.23000,0.38625,0.38625
8.25000,-0.41483,-0.41483
8.27000,0.18746,0.18746
8.29000,0.45172,0.45172
8.31000,0.60326,0.60326
8.33000,0.03153,0.03153
8.35000,-0.48206,-0.48206
8.37000,-0.77198,-0.77198
8.39000,-0.06731,-0.06731
8.41000,-0.19175,-0.19175
8.43000,0.23354,0.23354
8.45000,-0.82250,-0.82250
8.47000,0.31277,0.31277
8.49000,0.46111,0.46111
8.51000,-0.20731,-0.20731
8.53000,-0.27560,-0.27560
8.55000,0.03542,0.03542
8.57000,0.50702,0.50702
8.59000,0.27574,0.27574
8.61000,-1.19121,-1.19121
8.63000,-1.04202,-1.04202
8.65000,-0.25130,-0.25130
8.67000,0.85614,0.85614
8.69000,-0.75860,-0.75860
8.71000,0.07908,0.07908
8.73000,-0.20077,-0.20077
8.75000,-0.10900,-0.10900
8.77000,-0.65116,-0.65116
8.79000,-0.82220,-0.82220
8.81000,-0.36189,-0.36189
8.83000,0.41088,0.41088
8.85000,-0.65081,-0.65081
8.87000,-0.24630,-0.24630
8.89000,0.57298,0.57298
8.91000,0.34934,0.34934
8.93000,0.07483,0.07483
8.95000,-0.04330,-0.04330
8.97000,-0.52223,-0.52223
8.99000,0.13389,0.13389
9.01000,0.58153,0.58153
9.03000,-0.51093,-0.51093
9.05000,0.54997,0.54997
9.07000,-0.18036,-0.18036
9.09000,0.56949,0.56949
9.11000,0.14718,0.14718
9.13000,0.18305,0.18305
9.15000,0.01635,0.01635
9.17000,0.25423,0.25423
9.19000,-0.21422,-0.21422
9.21000,0.27441,0.27441
9.23000,0.00851,0.00851
9.25000,-0.30632,-0.30632
9.27000,0.47890,0.47890
9.29000,0.26402,0.26402
9.31000,-0.09915,-0.09915
9.33000,0.43238,0.43238
9.35000,-0.02869,-0.02869
9.37000,0.20391,0.20391
9.39000,0.04105,0.04105
9.41000,-0.36714,-0.36714
9.43000,0.69921,0.69921
9.45000,0.78120,0.78120
9.47000,0.17839,0.17839
9.49000,-0.03164,-0.03164
9.51000,-0.04608,-0.04608
9.53000,0.03666,0.03666
9.55000,-0.80205,-0.80205
9.57000,0.34615,0.34615
9.59000,-0.00701,-0.00701
9.61000,-0.06968,-0.06968
9.63000,0.01210,0.01210
9.65000,1.29290,1.29290
9.67000,-0.20845,-0.20845
9.69000,0.49413,0.49413
9.71000,0.38324,0.38324
9.73000,0.13004,0.13004
9.75000,-0.02719,-0.02719
9.77000,0.00574,0.00574
9.79000,0.60598,0.60598
9.81000,-0.49521,-0.49521
9.83000,0.38613,0.38613
9.85000,0.04182,0.04182
9.87000,0.07413,0.07413
9.89000,0.15309,0.15309
9.91000,0.18499,0.18499
9.93000,0.44984,0.44984
9.95000,-0.44963,-0.44963
9.97000,-0.18463,-0.18463
9.99000,0.68174,0.68174
10.01000,-0.12038,-0.12038
10.03000,-0.13466,-0.13466
10.05000,0.68029,0.68029
10.07000,0.29663,0.29663
10.09000,0.14388,0.14388
10.11000,0.12908,0.12908
10.13000,-0.29701,-0.29701
10.15000,-0.08288,-0.08288
10.17000,0.99531,0.99531
10.19000,-0.02068,-0.02068
10.21000,0.87173,0.87173
10.23000,0.04091,0.04091
10.25000,0.38766,0.38766
10.27000,-0.52919,-0.52919
10.29000,-0.04777,-0.04777
10.31000,-0.15200,-0.15200
10.33000,-0.21104,-0.21104
10.35000,-0.85137,-0.85137
